artist,author,gernes,heart,name,star,view,words
u-suke,kazamidori,"Cooking,Isekai,Romance,Slice of Life", 629 ,"Uống cà phê sau giờ học, trong quán cà phê ở thế giới khác",4.9,78643,44574
Kazutake Hazano,Saeki-san,"Comedy,Romance,School Life,Web Novel", 609 ,Otonari no Tenshi-sama ni Itsu no Aida ni ka Dame Ningen ni Sareteiru ken,4.9,118736,22863
Demizu Posuka,"Nanao, Shirai Kaiu","Action,Drama,Mystery,Romance,Shounen", 29 ,Bức thư từ Norman,4.6,7442,4340
Neko Nekobyou,スフレ,"Adventure,Comedy,Fantasy,Harem,Romance,School Life,Shounen,Slice of Life", 128 ,I Aim to Be an Adventurer with the Jobclass of “Jobless”,4.7,10244,1551
None,Suzunoki Kuro,"Adventure,Fantasy,Romance,Slice of Life", 415 ,Takarakuji de 40 Oku Atattanda kedo Isekai ni Ijuusuru,4.9,74043,70038
None,싱숑,"Action,Drama,Fantasy,Mature,Psychological,Supernatural", 305 ,Omniscient Reader,4.7,147538,54535
teffish,Nekomata Nuko,"Comedy,Fantasy,Romance,Slice of Life", 665 ,Kirawa Re Maou Ga Botsuraku Reijou To Koiniochite Nani Ga Warui,4.9,47223,15993
Hirohiko Araki,Kohei Kadono,"Drama,Psychological,Super Power", 8 ,Purple Haze Feedback,5,13860,4678
None,Er Mu,"Fantasy,Romance,Web Novel", 613 ,Release that witch,4.8,299768,91934
Kikuchi Youko,Tanaka Yoshiki,"Drama,Military,Science Fiction,Seinen", 66 ,Ginga Eiyuu Densetsu,4.6,40426,78161
None,Sasuke Hasebe,"Action,Adventure,Comedy,Fantasy,Harem,Seinen,Web Novel", 410 ,Hone to Issho no Isekai Seikatsu,4.8,45372,22098
夢咲 ミル,沢野いずみ - Izumi Sawano,"Comedy,Romance,Web Novel", 196 ,The me who wants to escape the princess training,4.9,46595,19166
None,Mishima Yomu,"Action,Comedy,Drama,Ecchi,Fantasy,Harem,Mecha,Science Fiction,Shounen", 69 ,Ore wa seikan kokka no akutoku ryōshu!,5,13128,7420
Kazabana Fuuka,"Shinkou, Shotou","Action,Adventure,Fantasy,Game,Isekai,Magic,Web Novel", 423 ,"Tensei Kenja no Isekai Raifu ~Daini no Shokugyo wo Ete, Sekai Saikyou ni Narimashita~",4.6,32726,7758
Masruku,Seto 瀬戸,"Drama,Ecchi,Fantasy,Gender Bender,Romance,School Life,Web Novel,Shoujo ai,Shounen", 645 ,Isekai Kara Modotta Ore Wa Ginpatsu Miko ni Natte ita,4.9,318649,100498
erect-sawaru; エレクト-さわる,槻影; tsukikage,"Action,Comedy,Fantasy,Seinen,Supernatural", 753 ,Daraku no Ou,4.8,198163,149191
None,Sugaru Miaki,"Drama,Psychological,Romance", 248 ,Parasite in Love,4.9,43781,68799
None,Butinuki Udon,"Drama,Romance,School Life,Seinen,Slice of Life", 189 ,Head Over Heels from the Scarf I Lent Her,5,39196,24557
유나물 (Yoonameul),류호성 (Ryu Hosung),"Comedy,Drama,Mystery,Romance,School Life,Slice of Life,Korean Novel", 340 ,"We Should Have Slept While Only Holding Hands, And Yet?!",4.3,63298,73941
DeeCHA,Ezo Gingitsune,"Action,Adventure,Fantasy,Harem,Magic,Slice of Life,Super Power,Web Novel", 674 ,"10 năm sau khi nói câu “Cứ đi đi, ở đây để tôi lo”, tôi đã trở thành một huyền thoại",4.7,99413,19387
盘古混沌,盘古混沌,"Action,Drama,Fantasy,Harem,Horror,Magic,Super Power,Supernatural,Web Novel,Mystery,Adventure,Chinese Novel", 224 ,"My Daughter, My Angel",4.7,80491,107693
Kurodeko,Haiaka,"Drama,Fantasy,Isekai,Magic,Romance,Shoujo", 580 ,Akuyaku Reijou wa Danna-sama wo Yasesasetai,4.8,121179,41744
None,Trương Dương Đích Ngũ Nguyệt (张扬的五月),"Adventure,Chinese Novel,Comedy,Game", 43 ,Kẻ ngược đời trong thế giới game.,3.4,18180,33338
None,のの原兎太,"Fantasy,Comedy,Romance,Seinen,Slice of Life", 232 ,The Last Surviving Alchemist,4.9,35143,53063
vient,Mutsuhana Eiko; 六つ花 えいこ,"Comedy,Fantasy,Romance,Slice of Life", 123 ,I am a Witch Requested by My Crush to Make Love Potion,4.7,13305,4645
Booota,Aya Hazuki,"Drama,Romance,School Life", 127 ,"Hello, Hello and Hello",5,13612,2207
Kozou,Mizokami Ryou/ Suisei,"Action,Comedy,Fantasy,Romance,Seinen,Harem", 179 ,Yami Guild no Master wa kyou mo hohoemu,4.9,11510,3213
雲屋ゆきお / Kumoya Yukio,月神サキ / Tsukigami Saki,"Comedy,Drama,Fantasy,Romance,Shoujo,Slice of Life,Otome Game,Web Novel", 391 ,"Vì không muốn làm một Nữ phản diện, tôi sẽ cố gắng trở thành một Cô gái Hoàn hảo dành cho Hoàng tử!",5,81306,33099
Monda,"Mishima Yomu, Wai","Comedy,Isekai,Romance,School Life,Incest", 418 ,The World of Otome Games is Tough For Mobs,4.9,97615,15219
None,Korota,"Drama,Romance,Slice of Life,Shoujo ai", 147 ,Warm Place,5,52276,57275
Hisasi,Kineko Shibai,"Comedy,Ecchi,Game,Romance,School Life,Seinen,Slice of Life", 190 ,Netoge no Yome wa Onna no Ko ja nai to Omotta?,5,32564,24386
Yukisan,Aloha Zachou,"Action,Adventure,Comedy,Fantasy,Game,Gender Bender", 157 ,Only Sense Online,5,23501,62910
None,綾崎オトイ,"Fantasy,One shot,Romance,Slice of Life,Web Novel", 46 ,Yopparai wo Hirotta Kanojo to Ibukuro wo Tsukamareta Otoko,4.7,14762,3472
None,nanokayou,"One shot,Romance,Shoujo ai,Web Novel", 53 ,The thing we all want,4.6,11860,791
Haimura Kiyotaka,Kamachi Kazuma,"Action,Adventure,Comedy,Fantasy,Harem,Science Fiction,Shounen,Super Power,Supernatural", 74 ,Toaru Majutsu no Index: New Testament (tập 20-21),5,15732,2371
None,Toharumina,"Comedy,Gender Bender,School Life,Slice of Life,Web Novel", 386 ,Tôi là con trai một... Tôi tái sinh thành một trong chị em sinh tư.,4.9,98831,16699
Haimura Kiyotaka,Kamachi Kazuma,"Action,Comedy,Fantasy,Magic,Mecha,Science Fiction,Shounen,Super Power,Harem", 76 ,Toaru Majutsu no Index: Virtual-On,5,19178,25846
Haimura Kiyotaka,Kamachi Kazuma,"Action,Adventure,Comedy,Fantasy,Harem,Science Fiction,Shounen,Super Power,Supernatural", 25 ,Toaru Majutsu no Index: Side Stories,5,4996,2392
無惑桑,Dai 616 Tokubetsu Jyouhou Daitai,"Action,Adventure,Comedy,Fantasy,Adapted to Manga", 471 ,The Villainess Will Crush Her Destruction End Through Modern Firepower,4.9,91079,74089
Kēji Mizoguchi,Hajime Kamoshida,"Comedy,Drama,Romance,School Life,Slice of Life", 573 ,Những cô gái cưng ở ký túc xá Sakura,4.9,183779,201126
None,Bad Bucket,"Adult,Adventure,Comedy,Ecchi,Fantasy,Harem,Mature,Romance,Seinen", 629 ,Harem Tales of a Reincarnated Elf Prince,4.9,89668,19634
Paseri,Takkurun,"Action,Comedy,Drama,Fantasy,Isekai,Romance,Slice of Life", 383 ,Isekaijin no Tebikisho,5,104732,59106
None,裏路地,Adult, 129 ,ZOMBIE NO AFURETA SEKAI DE ORE DAKE GA OSOWARENAI,3.9,24400,7041
None,ホシガミ・ヌエ＆アンネリリーゼ,"One shot,Romance,Shoujo ai", 117 ,"Rainy Day, To You",4.8,15404,1337
Ueda Umehito,Kuzu Shichio,"Action,Adventure,Comedy,Ecchi,Fantasy,Harem,Romance,Shounen", 685 ,Anh hùng Vô chức,4.8,139990,26805
None,Hazuki Kuroru,"Adult,Comedy,Ecchi,Fantasy,Josei,Mature,Romance", 257 ,Marietta-hime no Konrei,4.9,49092,29608
Yuunagi,Kanazuki Kurenai,"Action,Adventure,Fantasy,Isekai,Web Novel,Romance,Slice of Life,Seinen", 935 ,Legend,4.2,277332,299919
鍋島 テツヒロ (Nabeshima Tetsuhiro),あまうい白一 (Amauishiroichi),"Action,Comedy,Fantasy,Harem,Romance,Slice of Life,Web Novel", 2004 ,My House is a Magic Power Spot~ Just by Living there I Become the Strongest in the World,4.8,1190102,298016
Yukiko,Bisú,"Comedy,Drama,Fantasy,Harem,Romance,Shoujo", 203 ,Tensei Oujo wa Kyou mo Hata o Tatakioru,4.5,27189,13358
