artist,author,gernes,heart,name,star,view,words
Satoshi Takeshima,Odou Akihiko,"Fantasy,Supernatural,Romance,Super Power,Suspense", 64 ,"Tsukumodou Kottouten - ""Fushigi"" Toriatsukaimasu",5,18530,48981
Komine,Suzumu,"Horror,Supernatural", 83 ,Shuuen no Shiori,5,35689,41038
N/A,Mikage Eiji,"Drama,School Life", 44 ,Kamisu Reina,5,11762,13652
Ruroo,Reiji Kaitou,"Action,Fantasy,School Life,Romance", 166 ,Kikou Shoujo wa Kizutsukanai,5,38522,99432
Suzuhito Yasuda,Ryohgo Narita,"Action,Drama,Supernatural,Romance,Comedy,Mystery,School Life", 59 ,Durarara!!,3.4,30526,79947
"Chihiro Aikura, Takashi Takeuchi",Kinoko Nasu,Drama, 111 ,Tsuki No Sango,5,28494,15357
Abe Yoshitoshi,Ninomae Hajime,"Horror,Supernatural", 92 ,Phenomeno,4.9,35212,59559
Haimura Kiyotaka,Kamachi Kazuma,"Action,Comedy,Fantasy,Science Fiction,Romance", 579 ,Toaru Majutsu no Index,4.9,716221,1898365
Itou Noizi,Tanigawa Nagaru,"Comedy,Science Fiction,Romance", 40 ,Suzumiya Haruhi,5,27897,52286
VOFAN,NisiOisiN,"Comedy,Drama,Harem,School Life,Supernatural,Romance", 304 ,Monogatari Series,4.8,252255,675415
Giuniu,Nozomi Kota,"Comedy,Drama,Ecchi,Romance,Seinen,Slice of Life", 660 ,Musume Janakute Mama ga Sukinano!?,4.9,51804,41256
Buriki,Hirasaka Yomi,"Comedy,Harem,School Life,Romance", 419 ,Boku wa Tomodachi ga Sukunai,5,196617,383212
Okiura,Yumizuru Izuru,"Action,Comedy,Harem,Mecha,School Life,Science Fiction,Romance,Ecchi", 406 ,Infinite Stratos,5,141961,381073
Takeoka Miho,Nomura Mizuki,"Drama,Mystery,School Life,Romance", 131 ,Bungaku Shoujo,5,142922,80003
G-Yuusuke,Mikumo Gakuto,"Fantasy,Mystery,Action,Drama,Supernatural", 112 ,Dantalian no Shoka,4.8,30124,59565
n/a,Makoto Shinkai,"Drama,Slice of Life,Romance", 183 ,Byousoku 5 Centimeter,5,122096,38616
