artist,author,gernes,heart,name,star,view,words
Artumph - 乾 和 音,Ayano - 絢 乃,"Adapted to Manga,Adult,Ecchi,Harem,Isekai,Web Novel", 1563 ,Isekai Yurutto Survival Seikatsu ~Gakkou no Minna to Isekai no Mujintou ni Ten-i Shita Kedo Ore Dake Rakushou Desu~,4.8,372368,124162
Narumi Nanami; Mosukonbu,Amano Seiju,"Comedy,Romance,School Life,Adapted to Manga", 4528 ,Kurasu no daikirai na joshi to kekkon suru koto ni natta.,4.9,648261,185911
Satoshi Takeshima,Odou Akihiko,"Fantasy,Supernatural,Romance,Super Power,Suspense", 64 ,"Tsukumodou Kottouten - ""Fushigi"" Toriatsukaimasu",5,18531,48981
n/a,Makoto Shinkai,"Drama,Slice of Life,Romance", 183 ,Byousoku 5 Centimeter,5,122099,38616
N/A,Mikage Eiji,"Drama,School Life", 44 ,Kamisu Reina,5,11764,13652
Ruroo,Reiji Kaitou,"Action,Fantasy,School Life,Romance", 166 ,Kikou Shoujo wa Kizutsukanai,5,38523,99432
Suzuhito Yasuda,Ryohgo Narita,"Action,Drama,Supernatural,Romance,Comedy,Mystery,School Life", 59 ,Durarara!!,3.4,30527,79947
Komine,Suzumu,"Horror,Supernatural", 83 ,Shuuen no Shiori,5,35690,41038
"Chihiro Aikura, Takashi Takeuchi",Kinoko Nasu,Drama, 111 ,Tsuki No Sango,5,28495,15357
Abe Yoshitoshi,Ninomae Hajime,"Horror,Supernatural", 92 ,Phenomeno,4.9,35213,59559
Haimura Kiyotaka,Kamachi Kazuma,"Action,Comedy,Fantasy,Science Fiction,Romance", 579 ,Toaru Majutsu no Index,4.9,716238,1898365
Itou Noizi,Tanigawa Nagaru,"Comedy,Science Fiction,Romance", 40 ,Suzumiya Haruhi,5,27898,52286
VOFAN,NisiOisiN,"Comedy,Drama,Harem,School Life,Supernatural,Romance", 304 ,Monogatari Series,4.8,252264,675415
Buriki,Hirasaka Yomi,"Comedy,Harem,School Life,Romance", 419 ,Boku wa Tomodachi ga Sukunai,5,196620,383212
Okiura,Yumizuru Izuru,"Action,Comedy,Harem,Mecha,School Life,Science Fiction,Romance,Ecchi", 406 ,Infinite Stratos,5,141962,381073
G-Yuusuke,Mikumo Gakuto,"Fantasy,Mystery,Action,Drama,Supernatural", 112 ,Dantalian no Shoka,4.8,30125,59565
Houmitsu,Yorozuya Tadahito,"Adventure,Fantasy", 193 ,"Tabi ni Deyou, Horobiyuku Sekai no Hate Made",5,38077,81387
Tetsuo (415),Mikage Eiji,"Drama,Mystery,Romance", 746 ,Utsuro no Hako to Zero no Maria,4.8,151238,333710
Uruu Gekka,Suzuki Daisuke,"Comedy,Harem,Incest,School Life,Romance", 183 ,Onii-chan Dakedo Ai Sae Areba Kankeinai yo ne,5,53104,74943
イセ川ヤスタカ,ちんくるり,"Action,Adventure,Comedy,Ecchi,Fantasy,Harem,Web Novel", 442 ,Using Gacha to Increase My Companions and to Create the Strongest Girls’ Army Corps,4.6,76228,29845
None,Nanasawa Matari,"Action,Fantasy,Mature,Web Novel", 237 ,Shinigami wo Tabeta Shoujo,4.9,61549,139428
Takeoka Miho,Nomura Mizuki,"Drama,Mystery,School Life,Romance", 131 ,Bungaku Shoujo,5,142923,80003
Mahaya,Kamachi Kazuma,"Action,Comedy,Drama,Fantasy,Harem,Romance,Science Fiction,Shounen", 148 ,My Vampire Older Sister and Zombie Little Sister,4.5,15432,22258
None,九頭七尾,"Action,Comedy,Fantasy,One shot,Supernatural,Web Novel", 35 ,"Because My Toilet Turned Into a Dungeon, Taking Care of My Business Has Become too Difficult",4.8,17492,1995
Eiri Shirai,Ao Jyumonji,"Action,Adventure,Drama,Fantasy,Romance,Tragedy", 383 ,Hai to Gensou no Grimgar,5,97162,97969
None,Kataoka Naotaro,"Action,Adventure,Comedy,Fantasy,Harem,Isekai,Slice of Life,Tragedy,Web Novel", 353 ,Reincarnation into the Barrier Master,4.4,80399,21121
None,글쟁이S,"Action,Adult,Adventure,Fantasy", 59 ,Hunter of the Ruined World,5,13631,8056
Lack,Ido Masayoshi,"Action,Adventure,Fantasy,Romance", 541 ,Yobidasareta Satsuriku-sha,3.8,95011,56631
Katsumi Enami,Junpei Inuzuka,"Adventure,Fantasy,Mystery,Slice of Life", 61 ,Isekai Shokudou,5,10823,9367
Mitsuki Yano,Touwa Akatsuki,"Action,Adventure,Comedy,Fantasy,Harem,Mature,Romance,Ecchi", 435 ,"Commushou no Ore ga, Koushou Skill ni Zenfurishite Tenseishita Kekka",4.5,47114,7177
None,Kuro Inukami (黒犬神),"Adventure,Comedy,Fantasy,Harem,Shoujo,Shoujo ai,Web Novel", 171 ,Yuusha Ga Onna Da to Dame Desu Ka?,5,26611,5699
Sakana,Nyun,"Comedy,Fantasy,School Life", 436 ,"Isekai ni Tensei Shitandakedo Ore, Tensai tte Kanchigai Saretenai ?",4.5,94183,30631
None,Nam Hi-sung,"Action,Adventure,Comedy,Drama,Fantasy,School Life,Science Fiction,Romance", 1105 ,Legendary Moonlight Sculptor,4.9,2444182,2725961
UNKNOWN,とりまる,"Adventure,Ecchi,Fantasy,Gender Bender,Mature", 137 ,Elf-san with Master,4.3,22222,1646
None,しっちぃ,"Shoujo ai,Slice of Life", 105 ,Me and my beloved cat (girlfriend),3.8,20332,9279
None,Ikkuiku,"Action,Adventure,Comedy,Fantasy,Harem,Isekai,Mystery, Romance,Shounen", 144 ,Monster Musume Harem wo Tsukurou!,5,18873,10012
Manyako,Gakuto Mikumo,"Action,Comedy,Fantasy", 334 ,Strike the Blood,4.9,114395,385477
Gia,Sakamoto 666,"Action,Adventure,Drama,Fantasy,Horror,Mature,Psychological,Supernatural,Tragedy", 439 ,The Dungeon Seeker,4.7,88377,96614
Fuji Mitsuya,Katana,"Fantasy,Romance,Shoujo", 100 ,Watashi wa Teki ni Narimasen!,3.8,11345,4616
Yoshizawa Megane,EKZ,"Action,Ecchi,Fantasy,Harem", 477 ,Himekishi ga classmate,5,75660,71065
Unknown,Unknown,"Action,Adult,Comedy,Ecchi,Gender Bender,Mature,School Life", 201 ,I Awoke to Find I Was the Girl Swordsman That Protects My Cousin,4.9,41642,2746
Youta,Namekojirushi,"Ecchi,Fantasy,Harem,Isekai,School Life,Shounen", 244 ,Ore to Kanojo ga Geboku de Dorei de Shuujuu Keiyaku,4.6,26955,23256
Bun150,Akashi Kakkaku,"Action,Comedy,Fantasy,Harem,Romance,Shounen", 268 ,Bu ni Mi wo Sasagete Hyaku to Yonen. Elf de Yarinaosu Musha Shugyou,4.3,36410,34339
Hatsuko,"Kemu Voxx, Kimoto Masahiko","Drama,Mystery,Shounen", 158 ,Rokuchounen to Ichiya Monogatari,4.9,19636,5877
keepout,Takayama Liz,"Action,Comedy,Fantasy,Slice of Life", 459 ,Isekai yakkyoku,4.9,91860,59697
Mahaya,Nakanomura Ayasuke,"Action,Adventure,Fantasy,Harem,Romance,Supernatural", 194 ,Kanna no Kanna,2.8,26965,2558
Haruaki Fuyuno,Kei Sazane,"Action,Fantasy,Harem", 365 ,Sekai no Owari no Encore,4.7,62451,92600
Fukahire,Amano Seiju,"Action,Fantasy,School Life,Shoujo,Super Power,Web Novel", 267 ,10 sai no Saikyou Madoushi,4.7,38539,12583
癸 青龍,Tenkai 天界,"Adventure,Comedy,Fantasy,Gender Bender,Slice of Life,Web Novel", 119 ,Nigotta Hitomi no Lilianne,4.7,24310,13081
Misaki Kurehito,Maruto Fumiaki,"Comedy,Harem,Romance,Drama,Ecchi,School Life", 301 ,Saenai Kanojo no Sodatekata,5,95265,81204
中壱,Pai-chan,"Action,Adventure,Comedy,Fantasy,Romance", 160 ,"Bandit, Be Ambitious! To Accomplish Kingdom Revival!",5,15272,4968
N/A,Hondou Yuuki - 本堂ゆうき,"Action,Adventure,Comedy,Ecchi,Fantasy,Harem,Romance,Shounen", 262 ,Young God Divine Armaments,3.7,31259,25937
None,Aska,"Adventure,Comedy,Fantasy,Slice of Life", 63 ,That One Time the Essay a Child Wrote over Summer Break was Way too Fantasy(Short Story),5,14905,5189
Kodama Yuu,Sorano Kazuki,"Comedy,Fantasy,Harem,Romance,School Life,Shounen,Slice of Life", 312 ,Chou! Isekai Gakkyuu!!,5,30221,12739
None,Lazy Cat Drawing,Comedy, 26 ,The Tale of the Death of a Cockroach (Oneshot),4.6,14616,1837
N/A,Hondou Yuuki - 本堂ゆうき,"Action,Adventure,Comedy,Ecchi,Fantasy,Harem,Romance,Shounen", 218 ,Young God Divine Armaments,5,27586,14462
Saori Toyota,Takaya Kagami,"Action,Adventure,Fantasy,Shounen", 123 ,Densetsu no Yuusha no Densetsu,4.3,29800,38255
Miyama-Zero,Ichiei Ishibumi,"Action,Comedy,Ecchi,Fantasy,Harem,School Life,Supernatural,Romance", 334 ,High School DxD,4.4,245450,928524
Nardack,Bingo Morihashi,"Drama,Romance", 237 ,Shinonome Yuuko,5,39565,62300
Ukai Saki,Kanzaki Shiden,"Action,Drama,Horror,Mystery,Science Fiction,Romance", 230 ,Black Bullet,4.3,52756,166725
Shino,Tsubaki Himana,"Drama,Fantasy,Science Fiction,Romance", 163 ,Clockwork Planet,5,33458,40130
Saori Toyota,Takaya Kagami,"Action,Adventure,Fantasy,Shounen", 181 ,Dai Densetsu no Yuusha no Densetsu,5,56561,241143
Fukahire,Amano Seiju,"School Life,Adventure,Comedy,Fantasy,Web Novel", 165 ,10 Sai no Saikyou Madoushi,4.2,19429,2832
Takayaki,Shirakome Ryou (Chuuni Suki),"Action,Adventure,Comedy,Drama,Fantasy,Harem,Romance", 3276 ,Arifureta Shokugyou de Sekai Saikyou,4.9,3165120,517257
None,春野隠者,"Action,Adventure,Drama,Fantasy,Mature,Seinen,Web Novel", 102 ,GOBLIN KINGDOM,4.5,36043,14270
None,ナハァト,"Action,Harem,Romance,Super Power,Supernatural", 1383 ,"Sonomono, nochi ni...",4.6,501086,97039
None,Daystar,"Action,Adventure,Fantasy,Isekai,Web Novel", 100 ,Lv1 Skeleton,4.5,20652,8318
